filename,width,height,filesize,brightness,sharpness,blurry_flag
GVLiD\Black rot\black rot231.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot232.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot233.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot234.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot235.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot236.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot237.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot238.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot239.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot240.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot241.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot242.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot243.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot244.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot245.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot246.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot247.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot248.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot249.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot250.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot251.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot252.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot253.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot254.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot255.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot256.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot257.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot258.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot259.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot260.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot261.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot262.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot263.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot264.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot265.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot266.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot267.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot268.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot269.jpg,1080,1080,324514,130.850581348594,387.7608337402344,1
GVLiD\Black rot\black rot270.jpg,1080,1080,324514,130.850581348594,387.7608337402344,1
GVLiD\Black rot\black rot271.jpg,1080,1080,324514,130.850581348594,387.7608337402344,1
GVLiD\Black rot\black rot272.jpg,1080,1080,324514,130.850581348594,387.7608337402344,1
GVLiD\Black rot\black rot273.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot274.jpg,1080,1080,324514,130.850581348594,387.7608337402344,1
GVLiD\Black rot\black rot275.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot276.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot277.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot278.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot279.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot280.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot281.jpg,1080,1080,236310,153.19522320644725,159.85195922851562,1
GVLiD\Black rot\black rot282.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot283.jpg,1080,1080,240858,145.06088441186557,199.4669647216797,1
GVLiD\Black rot\black rot284.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot285.jpg,1080,1080,260855,128.91914532750337,224.4879913330078,1
GVLiD\Black rot\black rot286.jpg,1080,1080,260855,128.91914532750337,224.4879913330078,1
GVLiD\Black rot\black rot287.jpg,1080,1080,260855,128.91914532750337,224.4879913330078,1
GVLiD\Black rot\black rot288.jpg,1080,1080,260855,128.91914532750337,224.4879913330078,1
GVLiD\Black rot\black rot289.jpg,1080,1080,260473,142.8894006498628,223.60003662109375,1
GVLiD\Black rot\black rot290.jpg,1080,1080,260855,128.91914532750337,224.4879913330078,1
GVLiD\Black rot\black rot291.jpg,1080,1080,254890,162.22057437414276,182.46971130371094,1
GVLiD\Black rot\black rot292.jpg,1080,1080,254890,162.22057437414276,182.46971130371094,1
GVLiD\Black rot\black rot293.jpg,1080,1080,254890,162.22057437414276,182.46971130371094,1
GVLiD\Black rot\black rot294.jpg,1080,1080,254890,162.22057437414276,182.46971130371094,1
GVLiD\Black rot\black rot295.jpg,1080,1080,240161,147.67393873628265,183.6153106689453,1
GVLiD\Black rot\black rot296.jpg,1080,1080,240161,147.67393873628265,183.6153106689453,1
